"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.343868042E0,-9.524465257E-1,-5.741626632E-1,-1.388578062E0,1.779035183E0
2.353876042E0,-6.650536837E-1,1.596072357E0,-9.551508629E-1,1.975362382E0
2.363885042E0,-6.665586108E-1,2.746681021E0,-2.336910268E-1,2.836048044E0
2.373893042E0,-1.159352152E0,3.240204148E0,9.345250290E-2,3.442637609E0
2.383901042E0,-1.902995191E0,3.463561354E0,-2.479161695E-1,3.959685642E0
2.393909042E0,-2.063672438E0,3.354961603E0,-8.264724306E-1,4.024620226E0
2.403918042E0,-2.124596332E0,2.897393589E0,-8.419277179E-1,3.690208865E0
2.413926042E0,-2.144351004E0,2.068811556E0,-4.522844696E-1,3.013765705E0
2.423934042E0,-1.906566671E0,1.643704945E0,-3.023548436E-1,2.535385743E0
2.433943042E0,-1.630909921E0,1.159368378E0,2.996639550E-1,2.023314284E0
2.443951042E0,-1.463144826E0,2.795653206E-1,1.326079513E0,1.994351129E0
2.453959042E0,-1.087587959E0,-1.963670433E-2,1.778852810E0,2.085078053E0
2.463968042E0,-4.699600178E-1,-7.165411949E-1,1.815567477E0,2.007630186E0
2.473976042E0,-4.172061458E-2,-1.181013601E0,1.572641394E0,1.967164124E0
2.483984042E0,-8.386851445E-2,-1.143972659E0,1.423749064E0,1.828324033E0
2.493992042E0,-3.706234252E-1,-1.109094602E0,1.048640825E0,1.570700525E0
2.504001042E0,-6.772477596E-1,-8.549523908E-1,7.035358179E-1,1.297910153E0
2.514009042E0,-8.112077625E-1,-4.240658069E-1,5.704694887E-1,1.078575579E0
2.524017042E0,-8.150632703E-1,-5.063279450E-2,4.544396802E-1,9.345625915E-1
2.534026042E0,-7.036298119E-1,1.742312390E-1,2.937991977E-1,7.821568930E-1
2.544034042E0,-6.656078535E-1,3.588178968E-1,1.946410183E-1,7.808131811E-1
2.554042042E0,-7.804063846E-1,4.930804932E-1,-1.352687560E-2,9.232255815E-1
2.564050042E0,-1.040457062E0,5.479110038E-1,-2.693975608E-1,1.206371589E0
2.574059042E0,-1.342336819E0,5.988560396E-1,-5.578173566E-1,1.572150405E0
2.584067042E0,-1.653867113E0,5.692013007E-1,-9.481996930E-1,1.989560054E0
2.594075042E0,-2.035905765E0,4.349422127E-1,-1.311447440E0,2.460483977E0
2.604084042E0,-2.511662713E0,1.858631051E-1,-1.482206018E0,2.922315752E0
2.614092042E0,-2.743662103E0,3.517275631E-2,-1.310583222E0,3.040813582E0
2.624100042E0,-2.558395999E0,-3.581185699E-2,-6.658586260E-1,2.643868432E0
2.634109042E0,-1.975900615E0,-1.685787356E-1,1.575146341E-1,1.989324732E0
2.644117042E0,-1.346349763E0,-3.372913724E-1,9.514051366E-1,1.682734349E0
2.654125042E0,-7.788577496E-1,-5.117986000E-1,1.431832255E0,1.708420559E0
2.664133042E0,-3.334990145E-1,-5.827837980E-1,1.456187078E0,1.603539633E0
2.674142042E0,5.651480108E-3,-3.806829751E-1,1.135269810E0,1.197409290E0
2.684150042E0,9.085915312E-2,2.033369243E-2,8.324014342E-1,8.375923784E-1
2.694158042E0,1.185819720E-1,3.382362825E-1,4.652102514E-1,5.872699932E-1
2.704167042E0,1.503243130E-1,6.289434725E-1,5.280510820E-2,6.488109664E-1
2.714175042E0,-6.260920778E-2,7.711752391E-1,-2.681193960E-1,8.188523510E-1
2.724183042E0,-3.937067708E-1,8.124115580E-1,-6.218222217E-1,1.096211857E0
2.734191042E0,-8.973773025E-1,9.315602714E-1,-8.432304045E-1,1.544062200E0
2.744200042E0,-1.194010938E0,1.192127404E0,-9.977910984E-1,1.960208393E0
2.754208042E0,-1.140328236E0,1.301102546E0,-1.085820930E0,2.042602118E0
2.764216042E0,-9.474252293E-1,1.230835387E0,-6.699388862E-1,1.691563899E0
2.774225042E0,-6.579241736E-1,9.913603306E-1,8.235459723E-2,1.192661646E0
2.784233042E0,-4.527035688E-1,6.156416416E-1,8.514563406E-1,1.144086121E0
2.794241042E0,-3.968413170E-1,2.098197323E-1,1.355011536E0,1.427432525E0
