"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.808354958E0,4.932228729E-1,-8.018403769E-2,3.571877662E-1,6.142323523E-1
2.818354958E0,6.180658972E-1,-8.506353915E-2,2.460607018E-1,6.706617091E-1
2.828354958E0,6.225691304E-1,8.686682045E-2,1.538330810E-1,6.471497380E-1
2.838355958E0,4.544698665E-1,3.756204557E-1,6.145131290E-2,5.927983216E-1
2.848355958E0,2.137107620E-1,6.128998822E-1,-6.875514306E-2,6.527218589E-1
2.858355958E0,-3.580834866E-2,7.226942199E-1,-2.198202252E-1,7.562341600E-1
2.868355958E0,-1.989447883E-1,6.624117655E-1,-3.313476046E-1,7.669156478E-1
2.878355958E0,-2.802734184E-1,4.519640422E-1,-3.661865580E-1,6.456913193E-1
2.888355958E0,-2.399021950E-1,2.260077488E-1,-3.305202967E-1,4.667721417E-1
2.898356958E0,-7.700783014E-2,3.431847811E-2,-3.079001968E-1,3.192342322E-1
2.908356958E0,2.883452073E-1,-1.447799832E-1,-3.677360702E-1,4.892177627E-1
2.918356958E0,9.757988432E-1,-2.045695174E-1,-6.331077133E-1,1.181040832E0
2.928356958E0,1.791381200E0,3.946812093E-2,-1.060999573E0,2.082384314E0
2.938356958E0,2.530720250E0,4.985289288E-1,-1.560287397E0,3.014560140E0
2.948356958E0,3.332421171E0,7.908686614E-1,-1.961627415E0,3.946959110E0
2.958357958E0,4.140667757E0,8.339012450E-1,-1.929623265E0,4.643701833E0
2.968357958E0,4.730484002E0,8.366868585E-1,-1.260535734E0,4.966535425E0
2.978357958E0,4.998600474E0,9.582066178E-1,-8.867653370E-2,5.090386051E0
2.988357958E0,5.035164868E0,1.106135911E0,8.545087333E-1,5.225572416E0
2.998357958E0,5.078773402E0,1.111553357E0,1.244118506E0,5.345775995E0
3.008357958E0,5.231797374E0,9.300627995E-1,1.235752895E0,5.455621486E0
3.018358958E0,5.452203491E0,5.369071287E-1,9.598238846E-1,5.562018883E0
3.028358958E0,5.654200818E0,-2.155342162E-2,5.061618110E-1,5.676852228E0
3.038358958E0,5.752294877E0,-6.335925937E-1,1.101626758E-1,5.788131974E0
